tokenID,tokenOrder,unitID,unitSeq, col 0, col 1, col 2, col 3, col 4, col 5, col 6, col 7,endNote,kind,POS_dft
73E2B6130F1D,1,15D5036BCEAEA,11,"TC:, , , , , , , , , , 
43B775CC8E86,2,15D5036BCEAEA,11,And,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
37D75863249,3,15D5036BCEAEA,11,came,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1464EE10D9A88,4,15D5036BCEAEA,11,to,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1E387BAB28D52,5,15D5036BCEAEA,11,Gainesville,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
10AA4A233ADCE,6,15D5036BCEAEA,11,when,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
33B4C95FF9B09,7,15D5036BCEAEA,11,I,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
321EC1B4BAF63,8,15D5036BCEAEA,11,was,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
2DE1AF77654CA,9,15D5036BCEAEA,11,five,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
11BA3C639B022,10,15D5036BCEAEA,11,years,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
2EFE274B0C7FB,11,15D5036BCEAEA,11,old.",undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1CAF928F0168D,1,E39F30F7FC1,12,"DM:, , , , , , , , , , 
276A99A3DB35D,2,E39F30F7FC1,12,Five.",undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
2440BCA7EC1B7,1,CD8B4F6ACA22,13,"TC:, , , , , , , , , , 
2E4A790190A36,2,CD8B4F6ACA22,13,And,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
15288CFAB805D,3,CD8B4F6ACA22,13,reside,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
20E3D70B7174E,4,CD8B4F6ACA22,13,here,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
2673F1D008361,5,CD8B4F6ACA22,13,since,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1856A72AF3237,6,CD8B4F6ACA22,13,then.",undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
19E18BC090AAA,1,14BFA1093441F,14,"DM:, , , , , , , , , , 
2F60AF4495F2B,2,14BFA1093441F,14,Where,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
AE010F1873ED,3,14BFA1093441F,14,did,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
FC048D6DD88A,4,14BFA1093441F,14,you,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
364308E4A99E,5,14BFA1093441F,14,go,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
2C4BBAAD22B7,6,14BFA1093441F,14,to,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
31DE46AC21F83,7,14BFA1093441F,14,school,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
62F0CBC1AA99,8,14BFA1093441F,14,for,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
DBADFF557B26,9,14BFA1093441F,14,primary,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1973282317D0B,10,14BFA1093441F,14,education?",undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1EDAACD490D85,1,2C3752FB7CFA4,15,"TC:, , , , , , , , , , 
2BDC23AD51BFB,2,2C3752FB7CFA4,15,My,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
34FC1EAFF6791,3,2C3752FB7CFA4,15,primary,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1F4E65FB900D,4,2C3752FB7CFA4,15,education;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
22C99FFFB1A,5,2C3752FB7CFA4,15,high,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
203CA6C11CB15,6,2C3752FB7CFA4,15,school;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1EAC438912D3C,7,2C3752FB7CFA4,15,was,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1AF4F12878698,8,2C3752FB7CFA4,15,Lincoln,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
3A83821E5E40,9,2C3752FB7CFA4,15,high,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1E931822F540E,10,2C3752FB7CFA4,15,school;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
2253EE9A588CD,11,2C3752FB7CFA4,15,and,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
296C9B84F2F04,12,2C3752FB7CFA4,15,after,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
386AB2CDDB2F4,13,2C3752FB7CFA4,15,Lincoln,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
19DF77017D049,14,2C3752FB7CFA4,15,high,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
288CC7A4B4EFB,15,2C3752FB7CFA4,15,school;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
36739C2D78C57,16,2C3752FB7CFA4,15,went,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
74E100DEA35B,17,2C3752FB7CFA4,15,to,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
38C019FEF6D5C,18,2C3752FB7CFA4,15,the,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
36D4A9825C5B2,19,2C3752FB7CFA4,15,service,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
28C4E739A4D41,20,2C3752FB7CFA4,15,in,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
37D3530DFEA2E,21,2C3752FB7CFA4,15,the,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1062240B54CE1,22,2C3752FB7CFA4,15,navy;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
155E0A30BC965,23,2C3752FB7CFA4,15,and,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
192EA418608F9,24,2C3752FB7CFA4,15,after,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1D4DC8A771C31,25,2C3752FB7CFA4,15,returned,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
38D3BEBD7E740,26,2C3752FB7CFA4,15,from,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
147324960CB6,27,2C3752FB7CFA4,15,the,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
E901C33EE45C,28,2C3752FB7CFA4,15,navy;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
29F1EC705E8FD,29,2C3752FB7CFA4,15,I,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
206794C3B73B3,30,2C3752FB7CFA4,15,went,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1F5650AEE103B,31,2C3752FB7CFA4,15,to,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
2B723486F37C0,32,2C3752FB7CFA4,15,Lincoln,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
2FBE1FC47AED5,33,2C3752FB7CFA4,15,University,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
A98507A97258,34,2C3752FB7CFA4,15,in,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
2C24D401242A6,35,2C3752FB7CFA4,15,Jefferson,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
2016FC8342E8E,36,2C3752FB7CFA4,15,City;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
17B14CAF0991E,37,2C3752FB7CFA4,15,Missouri.",undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
7644CBB9682,1,2E42BB7F06E5B,16,"DM:, , , , , , , , , , 
20E37D408DB34,2,2E42BB7F06E5B,16,When;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
103BF3A99B9F4,3,2E42BB7F06E5B,16,ah;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
38BAC391537EA,4,2E42BB7F06E5B,16,you,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
57B3AD44F989,5,2E42BB7F06E5B,16,were,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
10E456CF1192F,6,2E42BB7F06E5B,16,interviewed,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
23F3F660679D4,7,2E42BB7F06E5B,16,in,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
7834C3615FEA,8,2E42BB7F06E5B,16,the,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
8DF28F81CB72,9,2E42BB7F06E5B,16,past;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
8658CF286DB9,10,2E42BB7F06E5B,16,you,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
803B9B234865,11,2E42BB7F06E5B,16,once,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
2D402FBBEB253,12,2E42BB7F06E5B,16,said,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1409A8F8F6BF6,13,2E42BB7F06E5B,16,that,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1B38A95137612,14,2E42BB7F06E5B,16,being,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1CC1CA215872C,15,2E42BB7F06E5B,16,the,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
107299B014907,16,2E42BB7F06E5B,16,oldest,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
23BC5C3E33DCB,17,2E42BB7F06E5B,16,boy,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
8D331C4455A6,18,2E42BB7F06E5B,16,in,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
331D1A384A1C6,19,2E42BB7F06E5B,16,the,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
23D19723FCF2F,20,2E42BB7F06E5B,16,family,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
3320BC5B774E8,21,2E42BB7F06E5B,16,meant,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
34C47B3E03567,22,2E42BB7F06E5B,16,that,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
8EDE9BA3AFC2,23,2E42BB7F06E5B,16,your,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
32342E882636,24,2E42BB7F06E5B,16,mother,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1175478813A0C,25,2E42BB7F06E5B,16,expected,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
BACD867F0DAB,26,2E42BB7F06E5B,16,you,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
124F189830A79,27,2E42BB7F06E5B,16,to,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
21D03D3D296FB,28,2E42BB7F06E5B,16,watch,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
AD711B65ED1B,29,2E42BB7F06E5B,16,out,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
278ECB47657AD,30,2E42BB7F06E5B,16,for,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
28157E02F28AC,31,2E42BB7F06E5B,16,you,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
2A486FDBE3209,32,2E42BB7F06E5B,16,little,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
2688F599C73C8,33,2E42BB7F06E5B,16,sisters.",undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
160A0AD06341F,1,38832D233CC25,17,"DM:, , , , , , , , , , 
168EBCC8A40CB,2,38832D233CC25,17,Um;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
320D2D1BAFC6E,3,38832D233CC25,17,did,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1D1CF4070AA0F,4,38832D233CC25,17,that,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
10F0B8A6F9373,5,38832D233CC25,17,require,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
DA3FED08CA38,6,38832D233CC25,17,more,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
3ADD0049AEFF,7,38832D233CC25,17,vigilance,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
2CA2A8F3652BA,8,38832D233CC25,17,or,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
64B33458D3D5,9,38832D233CC25,17,patience?",undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
367B9ADE3AA7,1,307C20CA1F0F1,18,"TC:, , , , , , , , , , 
1F4E7DF00C4B6,2,307C20CA1F0F1,18,No;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
2C1F4D13F6FE3,3,307C20CA1F0F1,18,after,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
DF4B7740AC7E,4,307C20CA1F0F1,18,my,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
161BD6DB5BCCA,5,307C20CA1F0F1,18,father,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
10935853E407D,6,307C20CA1F0F1,18,died;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
2C8B6A71BEE35,7,307C20CA1F0F1,18,ah;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1E893EC887521,8,307C20CA1F0F1,18,being,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
684D9356F7A1,9,307C20CA1F0F1,18,the,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
205EC3DD9ABFE,10,307C20CA1F0F1,18,oldest;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1370F2A402FB,11,307C20CA1F0F1,18,ah;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
2012CB97EC5DF,12,307C20CA1F0F1,18,boy,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
2514DD98C8B9E,13,307C20CA1F0F1,18,son;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
F2802383F786,14,307C20CA1F0F1,18,I,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1407FB831EACC,15,307C20CA1F0F1,18,was,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
2F8864138D39F,16,307C20CA1F0F1,18,the;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
586F8B1AB86,17,307C20CA1F0F1,18,ah;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
20835F8F55FDE,18,307C20CA1F0F1,18,kind,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
5B5E0C567BED,19,307C20CA1F0F1,18,of,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
E43F0785AA70,20,307C20CA1F0F1,18,(unintelligible),undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
12CBB64E39414,21,307C20CA1F0F1,18,of,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
2508B8AFC59BA,22,307C20CA1F0F1,18,family;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
3419319ADAE4E,23,307C20CA1F0F1,18,I;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
311A4917487C,24,307C20CA1F0F1,18,um;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
9E5E0E4457B7,25,307C20CA1F0F1,18,looked,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1FEB120CE1ACF,26,307C20CA1F0F1,18,out,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
C1F5CD6DA0BF,27,307C20CA1F0F1,18,for,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
263BC98274B6C,28,307C20CA1F0F1,18,my;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
92464AE7F603,29,307C20CA1F0F1,18,um;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
4C7CC0034D81,30,307C20CA1F0F1,18,mother;,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
21F6C37A87683,31,307C20CA1F0F1,18,and,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
14E91C6973FE3,32,307C20CA1F0F1,18,took,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1101AAB635141,33,307C20CA1F0F1,18,care,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1AEF01375811C,34,307C20CA1F0F1,18,of,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
164E5E6C7CD27,35,307C20CA1F0F1,18,most,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
124B0A545D1AA,36,307C20CA1F0F1,18,of,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
17038CECDC144,37,307C20CA1F0F1,18,the,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
38308C137E9B7,38,307C20CA1F0F1,18,business,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1DEE63DBBAF5,39,307C20CA1F0F1,18,for,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
1C27719394666,40,307C20CA1F0F1,18,her—,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
21816D11F4F2E,41,307C20CA1F0F1,18,(",undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
293FECA405382,1,B41C11D2EE03,19,DM:, , , , , , , , , , 
21B562FD145FB,2,B41C11D2EE03,19,Uh-,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , 
